latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemin,humidity,precip,preciptype,cloudcover,conditions,description,stations
39.952,-75.162,2021-06-23,75.6,54.1,65.5,54.1,55.2,0.006,rain,29.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-24,78.3,55.5,67.7,55.5,58.8,0,,31.9,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-25,80.3,57.4,69.6,57.4,62.7,0,,46.4,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-26,84.4,69.5,77.4,69.5,78.8,0.01,rain,83.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-27,89.5,73.9,81.3,73.9,71.8,0,,75.7,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-28,92.4,72.9,83.3,72.9,67.6,0,,41.9,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-29,94.6,75.8,85.2,75.8,64.4,0,,19.8,Clear,Clear conditions throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-30,96.5,76.4,86,76.4,64.9,0.026,rain,23.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-07-01,84.7,73,76.9,73,79.3,0.657,rain,71.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-07-02,76.1,68.1,72.3,68.1,86,0.978,rain,88.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-07-03,73.5,63.5,67,63.5,81,0.461,rain,82.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-07-04,80.4,61,70.6,61,75.6,0.047,rain,51.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-07-05,87.7,65.4,77.4,65.4,68,0,,34.2,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-07-06,92.4,73.6,82.6,73.6,66.6,0.078,rain,48.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-07-07,93.6,73.9,84.5,73.9,67.8,0.242,rain,39.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-07-08,89.6,74.8,81.1,74.8,72.2,0.158,rain,64.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,"F5255,F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-07-09,87.5,71.2,78.1,71.2,76.4,0.73,rain,82.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
